"","femur_circumference..mm.","femur_diamter..mm.","femur_length..mm.","humerus_diameter..mm.","humerus_length..mm.","tarsus_circumference..mm.","tarsus_diameter..mm.","tarsus_length..mm.","tibia_length..mm.","humerus_circumference..mm.","coracoid.HAF..mm.","coracoid.shaft.width","coracoid.max.length"
"Accipitriformes",9.61912467388735e-21,3.36710782813072e-25,2.25027212129697e-21,1.47622867747685e-21,5.3051937147332e-31,3.62695824514403e-15,6.86243341053904e-17,9.91396040387606e-10,2.88217085504175e-18,1.90820800277211e-24,4.05751774459999e-56,1.03601899281192e-20,1.44996443112091e-27
"Anseriformes",6.27738402278258e-51,2.52329598852161e-45,1.5544413339201e-71,2.54861349399892e-33,7.66189241186935e-61,3.21479290456843e-37,2.52181579407422e-45,8.13495261229852e-49,2.29999880664108e-63,8.63335708208604e-45,4.09024522432705e-78,2.22267241423416e-61,1.56808829820641e-69
"Apodiformes",1.68679203565782e-15,4.18220533151007e-13,2.53633453465825e-17,8.90801953086634e-08,4.99250348228756e-17,8.62887418315686e-07,5.85193821526173e-10,6.27225426059111e-10,1.44043443958053e-14,1.91852356247228e-07,1.00144179040616e-23,7.41323118289206e-08,1.63884140935163e-17
"Charadriiformes",8.97597674710916e-81,2.99896702020078e-81,1.55917760369726e-91,6.38648784892418e-85,7.22823255541704e-101,9.26335939782018e-80,6.22395227674125e-76,1.43600502494047e-14,2.65230404063735e-33,2.73756337229085e-110,3.05553655563104e-122,1.75309267332347e-100,4.31341881203074e-131
"Ciconiiformes",2.88638947626059e-21,1.4438641875348e-17,3.21455626196185e-16,2.56883146217658e-19,1.9681853446681e-21,3.77588115179564e-19,2.01228625036547e-13,1.80864688137783e-16,4.31977486720533e-18,1.61309741797901e-22,1.73182418032419e-27,1.34246218216854e-14,1.77901735295119e-19
"Columbiformes",6.60008961397339e-16,2.52178558587592e-15,1.42711344806389e-15,2.22727899411599e-10,4.13680539413221e-15,1.0157027824447e-09,1.49497357498284e-09,1.21819561707637e-10,4.88718121921547e-16,9.03713930089097e-14,1.2360983843022e-44,7.99087211412844e-15,1.0028996713239e-16
"Coraciiformes",8.99285034705448e-11,1.20205334595717e-11,3.69957305415521e-12,2.33610271157791e-10,2.2511271183428e-10,1.34334881741768e-07,5.49004671677125e-08,0.000866472638744682,2.94701668184598e-10,5.79575614103055e-12,2.74248814576204e-12,1.35704162406378e-11,2.86516694368041e-10
"Falconiformes",6.49835639553932e-07,7.25761444255523e-07,9.71611170826732e-09,0.000451752081391831,3.18779357599135e-08,1.13023527480177e-05,7.93884678999692e-07,7.03654839627879e-05,9.16805999672959e-08,4.65533616981561e-05,5.50760218856085e-16,0.000168930249379023,2.22618857905841e-07
"Galliformes",3.06553152166745e-15,4.72696196131284e-17,1.19516773640829e-14,7.26688960650948e-12,6.97490966530603e-09,7.30583702879587e-09,3.06130929970665e-12,3.42191386066525e-09,5.5285122598913e-11,1.32593410250374e-15,2.82547463697939e-15,3.39854282047413e-13,9.48339376181136e-18
"Gruiformes",3.20292613804625e-26,3.42121198003928e-22,3.59752544791966e-16,4.22942979145541e-17,2.87296767213101e-20,3.94212385385349e-19,3.04487108572322e-18,4.80227170209935e-14,3.36739278322679e-17,4.04863076197202e-23,1.18617808797549e-26,3.43723875084863e-17,4.65881189317662e-22
