"319 species, 319 individuals, partition 1",,,,,,,,,,,,,
,FC,FD,FL,HD,HL,TaC,TaD,TaL,TiL,HC,HAF,CSW,CLL
Slope,2.306883754,2.379795929,2.718763949,2.575609536,1.97756421,2.283058139,2.330338233,2.052014887,2.516505215,2.492458727,2.410422882,2.332486617,2.927188549
Intercept,0.073774076,2.743280684,-4.385582805,1.797283089,-2.358213493,0.459528488,3.079548633,-1.982416134,-4.913198112,-0.825209154,2.068242521,2.876810845,-4.609333793
Slope p-value,1.29E-202,1.14E-186,8.79E-162,4.23E-165,9.01E-177,3.35E-164,2.80E-173,6.61E-81,2.32E-138,1.05E-196,9.53E-292,7.51E-161,2.56E-194
Intercept p-value,0.331918486,5.44E-166,3.65E-72,1.37E-75,3.67E-50,2.54E-06,6.30E-179,4.93E-11,2.84E-61,1.93E-17,2.30E-209,1.56E-151,1.29E-99
R^2,0.946540423,0.932510232,0.902901017,0.907497137,0.922003671,0.906273642,0.917919601,0.683527761,0.863268808,0.941716021,0.985473473,0.901569759,0.939647483
95% Prediction Interval Upper Bound,0.813333264,0.909298257,1.121050801,1.065197119,0.995513283,1.075923542,1.002716172,2.010635375,1.339900137,0.851462509,0.422046893,1.098093919,0.882997926
95% Prediction Interval Lower Bound,-0.813333264,-0.909298257,-1.121050801,-1.065197119,-0.995513283,-1.075923542,-1.002716172,-2.010635375,-1.339900137,-0.851462509,-0.422046893,-1.098093919,-0.882997926
Mean PPE,35.05497742,41.04265198,50.41211626,41.05578331,45.22646679,46.14611938,42.98453262,106.2670254,58.11459349,32.2040176,14.47570967,39.56637474,37.1667319
PPE 95% CI,4.008291046,4.734329993,5.183375538,4.824184879,5.32430736,5.051208693,3.990674087,12.42207842,5.263421919,3.663128978,2.024100106,4.352853502,3.502148533
"319 species, 319 individuals, partition 2",,,,,,,,,,,,,
,FC,FD,FL,HD,HL,TaC,TaD,TaL,TiL,HC,HAF,CSW,CLL
Slope,2.318838462,2.37640703,2.70843589,2.625234777,1.972858832,2.308178566,2.328174384,2.041995529,2.533083054,2.475075142,2.401577702,2.308805052,2.933824381
Intercept,0.039086537,2.75232779,-4.358866206,1.776885271,-2.355658651,0.404508861,3.071709566,-1.953825683,-4.985793072,-0.778420796,2.078098484,2.895198692,-4.642543591
Slope p-value,1.99E-207,2.96E-183,3.75E-160,2.29E-175,6.66E-178,5.05E-159,1.21E-167,1.16E-80,3.33E-137,1.34E-200,3.11E-299,1.82E-160,2.54E-193
Intercept p-value,0.593194462,7.11E-165,4.79E-71,1.82E-82,4.53E-51,6.80E-05,2.19E-174,6.93E-11,2.05E-61,5.23E-17,8.05E-219,5.15E-154,1.28E-99
R^2,0.950172591,0.929055446,0.900559277,0.920384863,0.923282859,0.898904643,0.910871373,0.682391027,0.860938829,0.944942616,0.986979516,0.901013736,0.938761481
95% Prediction Interval Upper Bound,0.780366701,0.926512515,1.127481315,0.982033377,0.981202671,1.1105906,1.03842927,2.001532833,1.343827166,0.822287112,0.397090713,1.094383809,0.884202151
95% Prediction Interval Lower Bound,-0.780366701,-0.926512515,-1.127481315,-0.982033377,-0.981202671,-1.1105906,-1.03842927,-2.001532833,-1.343827166,-0.822287112,-0.397090713,-1.094383809,-0.884202151
Mean PPE,33.66141105,41.95444516,50.97093149,38.79308533,44.72986873,47.9284826,45.06142331,105.9542533,58.93063927,31.76291872,13.57323094,38.28895867,37.04495806
PPE 95% CI,3.499439691,5.331470124,5.228432061,4.711235438,5.12002964,5.076834276,4.558507818,12.43520916,5.358477284,3.7324559,1.910980231,4.324635732,3.370632172
